Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10
1,1,2,3,4,21,27,28,6,7
1,2,2,4,4,25,26,26,5,5
1,2,1,3,5,20,21,33,7,7
1,3,5,5,5,5,5,32,5,34
0,3,6,1,12,20,24,23,6,5
3,3,7,4,4,24,5,34,8,8
0,2,3,3,16,20,22,26,4,4
0,3,3,5,10,21,21,21,10,6
0,1,1,0,3,22,27,5,34,7
0,2,2,4,4,7,7,7,35,32
0,1,2,12,3,18,4,24,5,31
2,3,4,5,7,9,26,33,6,5
0,2,3,3,15,21,3,21,5,27
1,0,4,0,3,20,27,6,34,5
0,1,3,11,13,14,17,28,8,5
2,3,4,5,6,6,32,31,5,6
1,3,3,3,3,26,4,26,27,4
0,1,11,2,3,24,6,8,37,8
2,3,4,5,6,22,6,22,22,8
1,1,2,1,10,20,25,30,5,5
0,1,2,3,16,19,22,5,6,26
0,2,3,11,14,15,5,5,35,10
2,2,2,5,12,2,5,28,32,10
1,1,3,5,10,18,24,30,4,4
1,1,8,10,13,1,26,30,4,6
3,3,3,3,3,11,24,35,8,7
2,4,5,6,6,6,28,6,6,31
3,3,3,4,4,5,5,5,34,34
3,3,4,6,6,3,3,34,4,34
1,2,3,2,3,12,21,26,26,4
1,4,6,7,12,3,27,33,3,4
2,4,9,4,4,4,4,4,33,32
1,1,2,12,3,18,4,24,5,30
1,5,5,5,5,5,5,5,32,32
2,3,5,8,2,22,23,4,27,4
0,1,2,8,10,18,27,27,4,3
3,3,6,6,12,3,6,29,8,24
2,1,4,1,17,6,21,6,36,6
2,2,2,2,2,22,30,30,4,4
0,1,1,2,3,22,22,23,3,23
1,2,4,10,19,24,27,4,5,4
1,2,2,2,3,4,5,25,30,26
2,2,3,3,14,18,25,25,2,6
1,1,1,9,22,24,24,6,6,6
1,1,8,1,2,2,23,27,3,32
3,3,3,3,3,3,3,26,26,27
3,3,3,3,3,3,3,26,26,27
2,2,2,6,16,20,20,22,5,5
2,3,5,7,12,17,20,25,5,4
2,2,5,5,5,5,20,24,6,26
0,0,0,4,4,10,17,28,32,5
1,2,2,2,4,4,1,28,28,28
0,4,4,4,7,26,4,21,26,4
0,0,8,4,4,21,16,22,4,21
1,1,1,11,2,21,3,26,3,31
2,4,7,10,12,2,27,28,4,4
3,0,6,8,15,22,4,3,31,8
0,0,3,3,3,18,18,3,26,26
4,4,4,4,4,24,24,24,4,4
0,1,2,2,2,4,23,23,22,21
1,1,2,7,3,12,7,22,8,37
1,1,0,3,3,22,2,32,33,3
0,0,2,2,17,18,27,3,4,27
0,2,8,2,2,14,2,2,34,34
0,0,8,0,13,4,6,5,36,28
1,2,6,1,1,18,3,2,33,33
1,1,1,11,13,4,29,32,4,4
1,2,3,4,5,6,7,24,24,24
0,0,10,0,0,20,28,32,5,5
1,1,4,4,22,22,17,17,6,6
2,2,6,9,12,16,21,24,4,4
1,1,2,4,4,8,8,8,32,32
1,1,1,3,12,17,5,27,3,30
1,3,4,9,6,18,8,18,6,27
1,6,6,6,11,11,6,26,21,6
1,1,4,6,16,17,19,7,7,22
0,1,10,0,2,1,20,29,6,31
4,6,4,12,2,17,18,27,5,5
0,0,0,2,4,13,27,32,18,4
1,0,0,2,23,4,4,28,32,6
0,3,3,11,13,16,4,4,22,24
1,1,2,3,10,5,15,32,4,27
1,1,6,9,1,13,26,4,4,35
1,2,2,3,17,18,19,3,4,31
2,5,5,2,6,11,30,29,6,4
0,0,0,0,16,19,5,26,29,5
2,3,5,4,11,13,16,6,6,34
0,0,0,3,10,21,29,22,11,4
2,5,0,11,3,19,22,4,28,6
1,2,3,5,16,21,5,5,21,21
1,1,1,1,1,23,5,33,30,4
0,0,3,1,12,17,2,31,2,32
4,5,6,7,7,14,19,24,7,7
0,0,3,3,16,6,16,21,4,31
2,2,7,10,16,22,29,4,4,4
3,3,6,11,14,2,27,27,2,5
1,1,1,5,10,20,25,30,3,4
1,2,3,4,5,9,20,21,5,30
0,1,3,3,7,7,8,22,23,26
3,4,5,5,8,21,6,23,4,21
1,3,4,1,1,4,6,8,38,34
2,3,10,10,10,5,20,30,5,5
1,1,2,4,10,17,27,32,3,3
0,0,0,5,4,5,24,5,30,27
2,3,4,7,5,6,29,8,26,10
3,5,4,4,12,12,26,26,4,4
1,1,3,3,1,22,1,8,27,33
2,4,6,12,12,2,21,3,30,8
1,1,3,3,3,17,17,3,20,32
1,2,4,8,11,15,26,27,3,3
3,4,5,4,4,4,31,4,37,4
0,2,2,2,12,16,2,27,35,2
1,3,6,12,20,3,25,20,4,6
0,1,1,2,2,20,11,24,11,28
1,2,2,2,11,13,3,32,31,3
0,2,2,4,7,15,15,25,3,27
1,1,1,2,14,15,2,28,32,4
2,2,3,5,5,7,8,26,26,16
2,2,2,3,2,2,2,22,28,35
2,2,3,3,22,22,32,4,4,6
3,3,4,12,13,22,18,13,6,6
1,1,1,2,7,18,20,22,23,5
1,2,2,12,15,16,4,26,18,4
0,0,12,1,2,23,3,3,33,23
0,0,1,2,21,21,22,3,4,26
0,0,2,3,12,15,18,11,5,34
1,2,2,2,2,16,22,23,27,3
0,3,3,13,15,16,17,17,10,6
1,2,4,11,16,20,21,16,5,4
0,0,3,5,11,13,21,22,14,11
3,5,8,10,13,3,24,26,4,4
1,3,4,6,15,21,3,19,8,20
0,1,2,3,4,5,9,20,21,35
1,1,10,3,3,18,3,3,29,29
1,2,3,0,22,6,27,31,4,4
2,2,2,12,17,17,17,17,7,7
1,3,7,17,17,18,22,5,6,4
0,0,0,6,12,18,26,32,3,3
0,2,3,4,15,22,1,2,31,20
0,1,1,1,2,23,23,23,23,3
0,1,3,13,14,5,1,2,35,26
2,2,2,2,2,10,25,25,25,5
0,1,2,6,15,10,27,32,4,3
5,6,6,8,13,22,27,4,4,5
2,2,2,3,5,21,21,2,21,21
0,0,4,6,0,16,16,18,35,5
1,1,2,2,2,16,16,30,3,27
0,2,4,14,15,5,5,5,33,17
2,2,3,3,20,20,20,20,5,5
1,1,1,17,10,21,5,5,35,4
1,2,5,6,16,9,4,17,36,4
0,2,7,0,0,22,3,1,33,32
2,2,2,3,3,11,31,36,6,4
1,1,2,3,5,13,8,21,13,33
1,0,1,2,2,2,23,23,23,23
1,1,3,3,3,4,19,24,20,22
1,1,3,8,8,2,2,22,22,31
1,1,2,3,5,8,13,21,34,12
1,3,4,8,10,13,16,1,34,10
2,2,1,3,1,3,8,26,27,27
0,0,0,0,3,16,16,27,27,11
1,0,0,3,3,21,22,23,24,3
0,0,2,14,15,5,5,5,34,20
1,2,4,8,12,16,21,31,2,3
1,2,1,1,1,11,12,31,35,5
4,4,4,4,11,22,33,7,6,5
2,2,4,10,2,16,25,3,33,3
0,0,3,7,10,14,18,21,18,9
0,0,0,1,17,23,28,3,4,24
0,1,11,3,2,22,2,2,29,28
1,5,1,12,2,18,3,24,4,30
1,1,3,6,12,13,18,31,2,13
2,2,6,3,3,21,21,18,3,21
1,1,1,11,11,6,6,6,22,35
2,2,2,12,3,3,26,3,26,21
1,1,1,3,7,16,22,24,3,22
1,1,1,6,6,12,16,21,31,5
1,1,3,4,8,13,17,18,27,8
1,1,1,1,1,1,3,27,30,34
0,0,2,5,17,5,17,17,33,4
1,7,1,1,18,16,15,29,5,7
2,5,5,2,2,16,2,2,32,32
2,2,8,2,2,16,2,2,31,33
0,2,3,16,2,3,23,24,24,3
1,1,1,5,5,5,5,30,30,17
2,4,7,9,12,2,27,31,3,3
2,4,8,12,3,19,2,6,12,32
1,2,3,4,5,11,16,21,26,11
2,2,2,2,6,18,2,28,36,2
1,2,4,5,13,18,23,27,6,1
0,0,1,3,1,1,22,23,24,25
2,2,8,2,2,18,2,2,31,31
1,2,3,4,5,5,23,21,19,17
2,2,2,3,3,11,16,31,3,27
0,0,0,15,2,3,21,25,30,4
0,0,2,2,22,4,22,22,4,22
0,4,5,2,12,19,2,2,24,30
3,4,4,11,12,16,20,21,4,5
1,4,0,0,20,20,21,21,7,6
1,0,1,7,1,20,3,27,14,26
2,2,2,2,2,11,21,31,11,16
1,1,2,8,15,20,3,4,23,23
2,4,7,9,17,19,30,4,4,4
1,1,1,8,8,16,16,22,22,5
0,0,2,15,11,6,5,3,27,31
2,4,4,1,2,24,26,3,31,3
0,0,11,12,14,4,24,4,27,4
2,3,4,12,1,24,4,26,2,22
0,1,1,2,18,16,3,25,31,3
1,1,3,5,7,9,17,21,3,33
0,1,2,4,5,12,15,16,8,37
0,0,12,1,1,23,3,3,33,24
0,3,5,6,15,5,6,10,24,26
1,2,2,2,13,13,20,7,27,13
0,8,2,9,2,15,26,2,32,4
2,2,2,8,2,2,20,26,34,2
2,2,5,13,16,1,7,16,33,5
2,2,2,13,17,2,3,5,33,21
3,2,5,5,10,20,20,20,10,5
3,4,4,4,4,25,25,26,2,3
1,3,7,9,12,8,24,30,3,3
0,0,1,2,21,14,3,33,4,22
2,2,3,12,18,16,30,8,5,4
1,2,2,2,11,2,21,26,31,2
2,2,2,4,4,19,19,22,23,3
2,5,4,3,7,11,11,26,4,27
2,3,5,5,5,13,17,19,23,8
1,2,5,11,15,3,3,27,31,2
2,2,3,14,2,16,2,4,32,23
1,2,2,2,3,18,18,26,26,2
1,1,2,12,16,3,2,2,28,33
1,1,1,3,3,27,28,30,3,3
0,0,0,5,6,7,8,22,25,27
4,4,4,5,5,16,5,5,21,31
0,6,7,8,10,17,20,3,25,4
3,1,1,1,2,2,2,22,34,32
0,4,5,5,5,7,8,11,20,35
1,2,2,2,2,2,29,29,29,2
3,5,7,10,15,22,28,2,4,4
1,5,10,1,1,19,2,23,34,4
1,1,2,3,16,22,1,1,33,20
2,2,2,11,16,16,26,16,5,4
1,5,2,1,22,1,26,34,3,5
3,3,3,3,12,12,3,29,29,3
0,2,1,3,18,16,19,13,22,6
2,2,2,7,7,27,27,2,10,14
2,3,4,10,2,24,20,2,3,30
1,1,4,13,13,18,22,22,3,3
1,1,1,1,1,1,1,31,31,31
1,1,1,1,1,1,1,31,31,31
2,2,9,11,16,10,30,5,8,7
0,5,7,9,11,15,22,26,2,3
3,4,7,9,13,17,18,21,4,4
1,4,5,8,16,16,22,22,3,3
1,3,5,6,8,12,19,19,20,7
0,0,0,13,1,21,2,23,3,37
0,4,6,8,22,20,12,12,9,7
2,3,5,7,11,3,15,18,27,9
0,0,7,3,5,2,16,17,28,22
0,2,3,4,16,6,16,16,11,26
1,2,8,1,5,5,14,19,8,37
2,2,2,1,1,1,1,32,31,27
1,6,6,15,6,6,6,6,42,6
2,2,5,5,14,2,16,19,4,31
1,1,1,3,5,13,1,1,37,37
4,4,4,5,11,17,23,26,3,3
0,1,2,8,3,15,18,20,3,30
2,2,7,10,13,17,8,10,8,23
